GEO_ID,NAME,S1902_C01_001E,S1902_C01_001M,S1902_C02_001E,S1902_C02_001M,S1902_C01_002E,S1902_C01_002M,S1902_C02_002E,S1902_C02_002M,S1902_C01_003E,S1902_C01_003M,S1902_C02_003E,S1902_C02_003M,S1902_C01_004E,S1902_C01_004M,S1902_C02_004E,S1902_C02_004M,S1902_C01_005E,S1902_C01_005M,S1902_C02_005E,S1902_C02_005M,S1902_C01_006E,S1902_C01_006M,S1902_C02_006E,S1902_C02_006M,S1902_C01_007E,S1902_C01_007M,S1902_C02_007E,S1902_C02_007M,S1902_C01_008E,S1902_C01_008M,S1902_C02_008E,S1902_C02_008M,S1902_C01_009E,S1902_C01_009M,S1902_C02_009E,S1902_C02_009M,S1902_C01_010E,S1902_C01_010M,S1902_C02_010E,S1902_C02_010M,S1902_C01_011E,S1902_C01_011M,S1902_C02_011E,S1902_C02_011M,S1902_C01_012E,S1902_C01_012M,S1902_C02_012E,S1902_C02_012M,S1902_C01_013E,S1902_C01_013M,S1902_C02_013E,S1902_C02_013M,S1902_C01_014E,S1902_C01_014M,S1902_C02_014E,S1902_C02_014M,S1902_C01_015E,S1902_C01_015M,S1902_C02_015E,S1902_C02_015M,S1902_C01_016E,S1902_C01_016M,S1902_C02_016E,S1902_C02_016M,S1902_C01_017E,S1902_C01_017M,S1902_C02_017E,S1902_C02_017M,S1902_C01_018E,S1902_C01_018M,S1902_C02_018E,S1902_C02_018M,S1902_C01_019E,S1902_C01_019M,S1902_C02_019E,S1902_C02_019M,S1902_C01_020E,S1902_C01_020M,S1902_C02_020E,S1902_C02_020M,S1902_C01_021E,S1902_C01_021M,S1902_C02_021E,S1902_C02_021M,S1902_C01_022E,S1902_C01_022M,S1902_C02_022E,S1902_C02_022M,S1902_C01_023E,S1902_C01_023M,S1902_C02_023E,S1902_C02_023M,S1902_C01_024E,S1902_C01_024M,S1902_C02_024E,S1902_C02_024M,S1902_C01_025E,S1902_C01_025M,S1902_C02_025E,S1902_C02_025M,S1902_C01_026E,S1902_C01_026M,S1902_C02_026E,S1902_C02_026M,S1902_C01_027E,S1902_C01_027M,S1902_C02_027E,S1902_C02_027M
Geography,Geographic Area Name,Total!!Estimate!!All households,Total!!Margin of Error!!All households,Mean income (dollars)!!Estimate!!All households,Mean income (dollars)!!Margin of Error!!All households,Total!!Estimate!!All households!!With earnings,Total!!Margin of Error!!All households!!With earnings,Mean income (dollars)!!Estimate!!All households!!With earnings,Mean income (dollars)!!Margin of Error!!All households!!With earnings,"Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income",Total!!Estimate!!All households!!With Social Security income,Total!!Margin of Error!!All households!!With Social Security income,Mean income (dollars)!!Estimate!!All households!!With Social Security income,Mean income (dollars)!!Margin of Error!!All households!!With Social Security income,Total!!Estimate!!All households!!With Supplemental Security Income (SSI),Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI),Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI),Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI),Total!!Estimate!!All households!!With cash public assistance income,Total!!Margin of Error!!All households!!With cash public assistance income,Mean income (dollars)!!Estimate!!All households!!With cash public assistance income,Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income,Total!!Estimate!!All households!!With retirement income,Total!!Margin of Error!!All households!!With retirement income,Mean income (dollars)!!Estimate!!All households!!With retirement income,Mean income (dollars)!!Margin of Error!!All households!!With retirement income,Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families,Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families,Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families,Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families,Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers,Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers,Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers,Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers,Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker,Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker,Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker,Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker,"Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other",Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population,Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population,Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population,Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population,Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White,Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White,Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White,Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White,Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American,Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American,Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American,Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American,Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native,Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native,Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native,Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native,Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian,Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian,Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian,Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian,Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race,Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race,Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race,Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race,Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races,Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races,Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races,Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),Total!!Margin of Error!!Hispanic or Latino origin (of any race),Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino",Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months,Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months,Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months,Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months,Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months,Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months,Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months,Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months
1400000US17001000100,"Census Tract 1, Adams County, Illinois",2137,118,54388,4831,70,5.3,56587,5701,25,5.4,7937,2687,42.7,4.5,18588,2511,3.6,3.2,5742,1252,0.7,1.2,1300,5,17.9,4.4,15624,5134,1215,132,66230,6433,14.7,5.7,N,N,31.9,7.8,N,N,37.3,8.8,N,N,3.1,3.2,N,N,10.6,6,N,N,2.5,3.4,N,N,4593,307,25562,2051,96.4,4.3,25965,2065,0.1,0.2,N,N,0,0.6,-,**,0,0.6,-,**,0,0.6,-,**,3.5,4.3,N,N,0,0.6,-,**,4.4,4.1,16746,5746,95.6,4.1,25987,2105,29.7,(X),(X),(X),30.2,(X),(X),(X),29.5,(X),(X),(X)
1400000US17001000201,"Census Tract 2.01, Adams County, Illinois",865,62,51584,5097,71.6,7.7,53022,6852,14.3,4.4,11493,5206,33.6,5,16992,1606,5.4,4.1,14653,5451,3.6,3,2006,1493,18,5.1,19819,6995,524,63,63876,7881,9.9,4.8,53771,15707,25.6,8.5,45341,13070,37,8.6,78669,12701,10.1,6,43572,10759,8.2,5.7,87744,17086,9.2,8,67817,36621,1979,202,22667,2801,96,2.2,22681,2873,3.6,2,24262,9208,0.4,0.6,N,N,0,1.5,-,**,0,1.5,-,**,0,1.5,-,**,0,1.5,-,**,0.7,0.8,N,N,95.8,2.3,22681,2880,25.3,(X),(X),(X),22.5,(X),(X),(X),25,(X),(X),(X)
1400000US17001000202,"Census Tract 2.02, Adams County, Illinois",1027,76,54572,9029,80.2,6.1,53927,9647,17.2,6.3,2785,2045,38.2,7.2,14007,1628,2.7,2.6,10289,4056,6.5,5.8,1285,938,10.4,5,21323,12165,623,78,70549,14342,5.6,4.2,30551,4175,27.9,12.5,33697,5658,28.9,10.2,84237,30645,24.4,10.5,87359,35914,13.2,6.7,104617,29977,0,4.7,-,**,2801,253,20745,3737,86,6.4,21453,4008,3.9,2.3,29828,21427,0,1.1,-,**,1,1.2,N,N,0,1.1,-,**,2.5,2.9,13256,6538,6.6,4.5,6034,4288,3,2.9,11348,6797,85.5,6.5,21564,4057,41.5,(X),(X),(X),42.2,(X),(X),(X),29.8,(X),(X),(X)
1400000US17001000400,"Census Tract 4, Adams County, Illinois",1542,116,43243,6563,74.3,5.7,44812,8239,13.1,4.5,4638,2789,37.2,6.5,12852,1702,10.4,4.3,10535,1791,5.4,3.5,1970,956,17.7,6.8,14819,3751,902,146,53032,10068,10.8,5.2,23962,8843,47.6,9.1,36556,11687,23.4,8.3,89324,26069,10.2,6.7,41345,19242,8.1,5.3,98319,25377,0,3.3,-,**,4095,479,18678,2810,87.8,4.4,20049,3344,10.4,4,9886,3061,0,0.7,-,**,0.3,0.8,-,**,0,0.7,-,**,0.5,0.6,N,N,1,1.2,-,**,1,1.4,N,N,87.8,4.4,20049,3344,31.5,(X),(X),(X),33.3,(X),(X),(X),27.4,(X),(X),(X)
1400000US17001000500,"Census Tract 5, Adams County, Illinois",851,65,34396,3871,67.3,6.7,36830,4725,12.3,4,3716,1617,38.8,7.8,13901,1832,10.6,5.4,6611,1467,4.7,3.9,2768,1087,15.2,4.7,9661,3751,493,79,40274,5227,10.1,6.2,N,N,36.9,11.7,N,N,31.8,11,N,N,11.6,8.4,N,N,6.3,5.3,N,N,3.2,3.4,N,N,2066,187,15948,1784,78.7,6.1,18083,1594,20.2,6.4,6724,3182,0,1.4,-,**,0.5,0.9,N,N,0,1.4,-,**,0.3,0.6,N,N,0.3,0.6,-,**,0.3,0.6,N,N,78.7,6.1,18083,1594,27.3,(X),(X),(X),20.9,(X),(X),(X),24.6,(X),(X),(X)
1400000US17001000600,"Census Tract 6, Adams County, Illinois",1578,105,79354,17542,79.8,4.5,78530,20954,25.7,5.8,25697,15425,27,3.9,16711,1916,3.8,3.7,11025,3882,2.7,2,2219,1514,17.7,5,23733,8025,866,112,109413,30803,10.5,4.5,63210,28728,33,10.1,144105,97368,37.9,8.5,89009,15808,6.4,4.6,115609,85086,12.2,5.3,115395,23976,0,3.4,-,**,3681,323,34200,7730,96.1,2.5,35283,7967,1.9,1.6,11574,3325,0,0.8,-,**,1.1,1.6,N,N,0,0.8,-,**,0.2,0.4,N,N,0.7,0.9,N,N,0.7,1,N,N,96.1,2.5,35283,7967,27.8,(X),(X),(X),23.3,(X),(X),(X),17.8,(X),(X),(X)
1400000US17001000700,"Census Tract 7, Adams County, Illinois",740,94,25664,3434,63.5,7.7,27356,4272,10.7,5,5308,3254,34.9,8.1,11371,1345,7,5.1,8202,2192,4.9,4.6,681,386,12.4,4.9,15501,5897,212,51,28834,10303,11.8,9.4,N,N,38.2,27.1,N,N,18.4,13.2,N,N,10.8,15.8,N,N,0,13.2,N,N,20.8,22.5,N,N,1485,195,14357,2723,62.7,11.7,16658,3243,26.8,10.9,14563,6962,0.6,1,N,N,0,2,-,**,0,2,-,**,0,2,-,**,9.9,5.6,N,N,1,0.9,4887,7620,62.2,11.7,16723,3279,21.4,(X),(X),(X),43.4,(X),(X),(X),21.3,(X),(X),(X)
1400000US17001000800,"Census Tract 8, Adams County, Illinois",1117,106,29022,3515,71.2,7.9,30884,4085,8.9,4.5,2074,1077,33.6,8.8,11387,1680,8.2,5.5,9714,2680,6.7,4.2,1460,847,4.6,3.3,10814,5088,567,119,33618,6008,13.1,8,N,N,54.1,10.7,N,N,12.7,7.2,N,N,14.6,9.4,N,N,5.5,5.9,N,N,0,5.1,N,N,2838,345,13041,1460,80.6,8,13273,1516,12.3,7.7,8327,7300,0.6,1,N,N,0,1,-,**,0,1,-,**,0.5,0.8,N,N,6,3.5,19124,12208,1.1,1.7,N,N,80.6,8,13272,1516,36.8,(X),(X),(X),49,(X),(X),(X),36.3,(X),(X),(X)
1400000US17001000900,"Census Tract 9, Adams County, Illinois",1064,104,43287,5398,84.9,4.7,40394,5788,12.9,5,8666,5810,21.9,5.6,15323,2221,13.1,5.6,9494,2890,0.7,1.1,-,**,12.6,4.2,13584,5602,661,88,46618,6292,17.7,7.6,21910,9953,36,10.5,38158,9657,26.2,9.1,69424,9746,10.3,4.6,58628,21066,2.7,2.5,53417,18625,7.1,5.6,47030,10862,2512,257,18504,2494,90.3,6,19987,2721,6.3,5.4,4287,5269,0,1.2,-,**,0.6,1,N,N,0,1.2,-,**,0,1.2,-,**,2.8,2.8,N,N,0,1.2,-,**,90.3,6,19987,2721,29.4,(X),(X),(X),28.3,(X),(X),(X),24.7,(X),(X),(X)
1400000US17001001001,"Census Tract 10.01, Adams County, Illinois",1363,102,53793,4328,84.4,4.8,49873,5006,23.5,6.2,8286,4480,32.1,5.6,17165,2117,3.1,2.4,7924,2217,2.3,1.9,3177,2345,21.2,5,14007,4552,968,109,59647,5909,11,4.7,N,N,28.2,7.6,N,N,41,9,N,N,7.5,4.6,N,N,8.3,4.5,N,N,4,4.1,N,N,3640,325,20446,2180,95.2,3,20978,2299,2.4,2,8322,4964,0,0.8,-,**,0.8,1,N,N,0,0.8,-,**,0.5,0.9,N,N,1.1,1.3,N,N,1,1.1,5858,8043,94.7,3,21029,2305,22.7,(X),(X),(X),22.3,(X),(X),(X),20.2,(X),(X),(X)
1400000US17001001002,"Census Tract 10.02, Adams County, Illinois",1304,95,53940,6879,60.7,4.7,56437,5770,33.1,6.1,19493,17830,47.9,5.1,17216,1706,0.9,1.4,3683,16,1.1,1.1,15536,13679,27.9,5.4,13124,4403,817,98,67582,10445,21.3,5.9,N,N,23.4,7.5,N,N,39.3,8.1,N,N,7.6,4.5,N,N,6.2,4.1,N,N,2.2,2,N,N,3198,299,23333,3012,96,2.7,23592,3111,1.8,1.8,22216,4729,0.4,0.7,N,N,0,0.9,-,**,0,0.9,-,**,0.3,0.6,N,N,1.5,1.7,N,N,0.3,0.6,N,N,96,2.7,23598,3113,23.6,(X),(X),(X),20.4,(X),(X),(X),22.9,(X),(X),(X)
1400000US17001001100,"Census Tract 11, Adams County, Illinois",3244,125,71470,6218,70.6,4.7,72885,5974,35.6,5.1,22965,11350,39.1,4.4,17458,1785,3,1.6,5409,1135,0.8,0.9,3576,3241,19.9,4.8,17389,3818,2230,157,85814,8397,19.2,4.8,N,N,19.7,6.2,N,N,41.3,6.4,N,N,7.1,3.1,N,N,11.5,4.4,N,N,1.2,1.3,N,N,7974,361,29529,2555,90.9,2.5,30580,2782,1.3,1.5,10749,5012,0.1,0.3,N,N,4.6,1.8,26053,9051,0,0.4,-,**,1.2,1.2,23449,588,1.9,1.4,5702,5196,2.3,1.6,23207,3523,90.1,2.5,30620,2805,21.2,(X),(X),(X),18.4,(X),(X),(X),17.2,(X),(X),(X)
1400000US17001010100,"Census Tract 101, Adams County, Illinois",1633,101,57186,4392,77.6,3.6,57566,5033,25.3,4.8,7901,2837,35.8,2.9,17979,1209,3.1,2,7727,2488,1.5,1,1113,973,17.9,4.2,15656,3218,1128,101,68308,4735,15.2,3.2,N,N,27.7,5,N,N,38.9,6,N,N,7.5,4.2,N,N,9.6,3.4,N,N,1,1.2,N,N,4073,245,23774,1538,99.3,0.5,23860,1551,0.1,0.3,N,N,0,0.7,-,**,0.2,0.2,N,N,0,0.7,-,**,0.1,0.2,N,N,0.2,0.3,14410,18594,3,2.1,7422,2714,96.4,2.2,24350,1685,34.8,(X),(X),(X),33.3,(X),(X),(X),26,(X),(X),(X)
1400000US17001010200,"Census Tract 102, Adams County, Illinois",1448,93,55843,5362,78.4,3.5,55982,6820,24,4,9770,5858,32.9,3.4,16069,1205,5.2,2,9292,1883,1.6,1.4,3600,1916,14.7,3,14056,3054,1023,82,60681,4633,15.6,4.1,46351,16363,32.9,5.3,46071,10134,35,5.2,76458,5197,7.3,3.1,51944,10802,7.1,3.6,96426,11010,2,1.1,41375,14924,3712,232,22976,2330,96.6,1.6,23403,2455,1.2,1.1,11435,8005,0.6,0.7,N,N,0,0.8,-,**,0,0.8,-,**,0,0.8,-,**,1.7,1,10421,4741,0.4,0.5,N,N,96.4,1.7,23462,2455,35.3,(X),(X),(X),35.5,(X),(X),(X),26.5,(X),(X),(X)
1400000US17001010300,"Census Tract 103, Adams County, Illinois",2153,122,63831,6091,84.3,3.7,60401,5348,21.3,4.1,8517,3767,33,4.3,15869,1304,3.4,1.8,8592,654,0.9,1,1358,1029,13,3.1,34871,26987,1770,121,69228,7384,9.1,3.3,24057,4630,29.9,6,62817,17711,41.9,6,72057,5534,8.4,4.5,83254,21128,5.9,2.7,87013,9791,4.8,2.1,123752,70165,6128,341,23174,2188,99,0.9,23277,2210,0.8,0.9,11556,13377,0.1,0.2,N,N,0,0.5,-,**,0,0.5,-,**,0,0.5,-,**,0.1,0.1,-,**,1.2,1.2,10542,8356,97.8,1.5,23423,2224,35,(X),(X),(X),38.5,(X),(X),(X),25.5,(X),(X),(X)
1400000US17001010400,"Census Tract 104, Adams County, Illinois",1253,129,70108,6086,86.8,4.6,66748,7218,26.3,7.3,5775,3765,37.1,5.9,19023,2512,4.2,3.6,10065,3094,0,2.4,-,**,19,5.9,13889,4922,941,119,80245,7727,9.9,4.6,N,N,31.7,8.8,N,N,37.2,7.9,N,N,10.9,7.7,N,N,8.7,4.4,N,N,1.6,1.8,N,N,3336,358,27046,2629,99.7,0.5,27119,2679,0,0.9,-,**,0,0.9,-,**,0.3,0.5,N,N,0,0.9,-,**,0,0.9,-,**,0,0.9,-,**,0,0.9,-,**,99.7,0.5,27119,2679,29.9,(X),(X),(X),35.5,(X),(X),(X),26.3,(X),(X),(X)
1400000US17001010500,"Census Tract 105, Adams County, Illinois",1246,86,86494,9413,76.6,6.4,79432,9807,34.3,7.4,25993,14357,40.4,5.6,18679,2163,2.4,2.2,10470,572,0.8,1.3,510,17,24.6,6.3,25183,7149,925,84,104529,12237,12.5,5.9,N,N,28.6,7.8,N,N,44,7.9,N,N,2.4,2.9,N,N,12.4,6.6,N,N,0,3.2,N,N,2987,193,36678,4119,97.8,2.1,37171,4215,1.3,1.2,22454,11984,0,1,-,**,0,1,-,**,0,1,-,**,0,1,-,**,0.9,1.1,N,N,0,1,-,**,97.8,2.1,37171,4215,18.6,(X),(X),(X),18.1,(X),(X),(X),15.9,(X),(X),(X)
1400000US17001010600,"Census Tract 106, Adams County, Illinois",2347,178,65873,8693,80,5.3,68331,10051,27.8,5.8,5989,3003,28,5.1,18902,2737,6,3.3,6243,1306,0.9,1.5,2918,8,14.7,4.1,21215,6134,1638,162,82176,10087,14.4,5.1,47636,12693,20.3,7.3,47998,14793,47.3,8.6,100484,16699,5.4,4.3,81858,82471,12.6,5.5,107962,15843,0,1.8,-,**,6054,305,25985,3036,98.8,0.9,25982,3034,0.5,0.5,22860,28549,0,0.5,-,**,0,0.1,N,N,0,0.5,-,**,0.2,0.5,N,N,0.4,0.5,N,N,0,0.5,-,**,98.8,0.9,25982,3034,24.8,(X),(X),(X),26.8,(X),(X),(X),21.5,(X),(X),(X)
