"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"0400000US17","Illinois","4778633","11513","57166","203","76.6","0.1","62152","231","13.8","0.1","34174","367","0.2","0.1","41567","2164","4.2","0.1","75890","1179","0.0","0.1","73264","12306","3.9","0.1","44842","807","1.2","0.1","48716","1897","11.0","0.1","46782","435","70.0","0.1","63847","270","3.6","0.1","24207","624","34.5","0.1","62340","362","39.7","0.1","70284","354","22.2","0.1","38325","237","3131125","10756","70967","326","45.0","0.2","67694","622","55.0","0.2","73048","342","73.6","0.2","85287","348","19.4","0.1","33254","307","7.0","0.1","47376","640","1647508","6996","34050","246","53.9","0.2","29595","283","46.5","0.3","26594","230","7.4","0.1","57238","1110","46.1","0.2","40162","354","36.7","0.2","35695","385","9.4","0.2","62933","1270","30.7","(X)","(X)","(X)","31.5","(X)","(X)","(X)","27.8","(X)","(X)","(X)",
"8600000US52761","ZCTA5 52761","11857","280","50963","3193","93.6","1.4","52615","2635","2.1","0.7","21401","7271","0.5","0.5","95781","93844","0.7","0.3","86181","40014","0.0","0.2","-","**","2.2","1.0","42276","2642","1.0","0.5","9886","60001","10.3","1.1","41691","2566","85.9","1.3","53065","2365","5.8","1.2","25000","12196","31.6","1.9","51997","10888","39.0","1.8","66595","4239","23.7","1.6","38253","1980","8205","307","61507","3659","43.7","2.9","54718","12437","56.3","2.9","63337","4305","76.4","2.8","71332","3088","16.6","2.6","19590","6075","7.0","1.9","41605","5558","3652","280","28426","3655","56.3","5.3","26160","2337","49.1","4.9","23333","2658","7.2","3.2","60139","36000","43.7","5.3","33323","5814","32.3","4.9","26775","6587","11.4","3.6","54231","27166","30.2","(X)","(X)","(X)","31.1","(X)","(X)","(X)","24.9","(X)","(X)","(X)",
"8600000US60002","ZCTA5 60002","9218","293","75928","3474","96.5","1.0","75548","3534","1.1","0.7","140139","55110","0.0","0.3","-","**","1.6","0.8","92171","48723","0.0","0.3","-","**","0.2","0.3","-","**","0.5","0.5","60625","51662","3.2","1.1","51515","16127","93.5","1.4","76156","3636","2.0","1.0","32692","12280","31.4","2.5","87194","6923","45.3","2.6","81930","8230","21.3","1.6","49103","7877","6655","226","90818","4472","46.6","3.0","93668","6265","53.4","3.0","88229","7080","80.6","3.4","99236","4306","11.8","2.4","40000","9108","7.6","2.4","62578","36992","2563","272","37467","4643","44.6","6.1","33542","8046","38.3","6.1","27335","5375","6.3","2.6","85441","14778","55.4","6.1","41455","10956","43.1","6.5","37425","7510","12.3","4.2","68542","33733","24.3","(X)","(X)","(X)","26.3","(X)","(X)","(X)","17.2","(X)","(X)","(X)",
"8600000US60004","ZCTA5 60004","19551","321","80760","2657","89.1","1.4","82057","3886","1.7","0.7","57308","34474","0.1","0.1","-","**","7.1","1.1","82474","16241","0.0","0.1","-","**","1.7","0.5","63029","6140","0.4","0.2","85104","43223","4.4","0.9","56827","9669","86.3","1.5","83485","4795","1.2","0.6","49886","16501","30.6","1.5","84276","8261","41.8","1.6","108750","8220","26.4","1.3","50736","6697","13566","328","105528","4234","42.6","2.1","115345","9210","57.4","2.1","96497","7583","87.9","1.9","112639","6036","9.5","1.7","55801","7792","2.6","0.8","71250","23392","5985","425","47056","4312","63.1","4.2","40445","7129","55.4","4.9","35618","5344","7.7","2.2","80577","16292","36.9","4.2","52852","2653","33.1","4.1","51739","2668","3.8","1.6","76406","14608","27.1","(X)","(X)","(X)","28.6","(X)","(X)","(X)","22.8","(X)","(X)","(X)",
"8600000US60005","ZCTA5 60005","12525","423","71352","3735","86.2","2.0","74263","3911","2.6","1.0","28472","24662","0.5","0.6","-","**","6.4","1.2","77391","8905","0.0","0.2","-","**","3.5","1.3","47369","25739","0.9","0.5","61417","39135","7.4","1.9","47231","12617","83.0","2.2","75596","3752","1.4","0.6","64010","23432","33.6","2.4","83216","6044","37.7","2.3","83608","6459","27.3","1.7","43057","3426","7561","322","91155","6270","44.3","3.8","97313","9827","55.7","3.8","85293","6614","80.9","2.9","99091","4839","11.4","2.5","54554","22264","7.6","2.0","70816","6527","4964","413","43102","4489","55.7","5.1","36902","4987","49.8","5.1","32539","7020","5.9","2.3","88508","22542","44.3","5.1","54716","11691","33.4","4.7","44397","6835","10.8","3.6","92917","20630","27.8","(X)","(X)","(X)","29.0","(X)","(X)","(X)","25.7","(X)","(X)","(X)",
"8600000US60007","ZCTA5 60007","13611","339","68559","3466","85.4","1.9","69938","3536","0.8","0.5","23594","21810","0.2","0.3","-","**","8.2","1.1","99297","15948","0.0","0.2","-","**","4.4","1.5","42372","6652","1.0","0.6","46875","47347","7.7","1.7","49171","4625","82.2","2.0","70274","3490","1.8","1.0","50987","24007","27.4","2.1","70369","8275","46.2","2.2","86855","4773","24.6","1.9","37098","5302","8836","268","86503","5398","42.0","3.1","92381","11725","58.0","3.1","85067","3869","81.9","2.9","96283","6204","13.7","2.6","49826","11217","4.4","1.8","64423","20906","4775","422","40146","7763","57.7","4.9","31430","4570","49.9","4.7","27078","3082","7.8","2.6","71875","13263","42.3","4.9","48049","10108","37.9","5.3","43078","7322","4.4","2.3","78770","21847","28.1","(X)","(X)","(X)","32.3","(X)","(X)","(X)","20.4","(X)","(X)","(X)",
"8600000US60008","ZCTA5 60008","8474","411","61645","3284","79.3","3.1","62565","3380","2.6","1.4","50521","27565","0.5","0.5","29191","81402","8.0","1.9","74899","10660","0.2","0.4","-","**","8.9","2.6","51182","19535","0.6","0.5","53816","56677","16.5","2.7","53042","11963","72.5","3.0","62251","3240","2.9","1.4","31193","28911","34.1","2.8","63668","7203","40.6","3.1","73625","12532","22.4","2.3","41726","7620","5670","281","73646","8890","46.7","3.6","66470","11048","53.3","3.6","77200","6194","74.6","4.3","89971","7496","16.9","3.5","37169","15789","8.5","3.3","41071","11336","2804","364","37500","5094","60.9","7.0","34184","3940","53.5","6.6","31690","5345","7.4","3.2","80156","14701","39.1","7.0","45395","9047","33.1","6.8","42457","11035","6.0","2.9","74107","33867","31.0","(X)","(X)","(X)","32.9","(X)","(X)","(X)","20.8","(X)","(X)","(X)",
"8600000US60010","ZCTA5 60010","16002","383","122789","5038","90.2","1.3","120191","5395","0.5","0.4","64286","48069","0.1","0.1","-","**","8.2","1.1","173787","44013","0.0","0.2","-","**","0.1","0.1","52019","74505","0.9","0.5","133750","48676","2.2","0.7","103333","40782","88.1","1.5","121250","5094","0.5","0.4","41198","46056","18.7","1.8","148750","15485","51.2","1.9","149808","9408","29.6","1.4","74293","12479","12747","347","142702","7627","41.6","2.1","160357","15073","58.4","2.1","129144","7698","89.7","1.5","150912","7418","7.1","1.2","50505","7893","3.2","1.0","100938","33466","3255","345","55420","5910","62.1","5.3","47500","5672","58.6","5.4","44693","5886","3.5","1.9","90547","50342","37.9","5.3","79856","17240","28.8","5.2","71780","15743","9.1","3.3","166563","120293","31.9","(X)","(X)","(X)","31.9","(X)","(X)","(X)","30.7","(X)","(X)","(X)",
"8600000US60012","ZCTA5 60012","3987","221","112461","9430","96.8","1.5","112642","10626","0.0","0.7","-","**","0.0","0.7","-","**","2.7","1.5","114531","37263","0.0","0.7","-","**","0.3","0.4","87857","56213","0.2","0.4","-","**","1.8","1.0","77014","8348","95.5","1.8","113184","10778","0.3","0.4","-","**","23.5","3.8","123819","22846","54.6","4.1","135532","11241","21.7","3.2","53365","9361","3255","203","130634","7783","46.7","4.0","130824","10558","53.3","4.0","130288","17654","93.1","2.4","132600","8828","4.9","2.0","62361","25375","2.0","1.4","187826","107094","732","138","35978","8399","54.4","11.1","28918","4798","50.4","11.3","28377","5733","4.0","3.9","93417","10588","45.6","11.1","53269","17945","34.2","10.4","40625","13992","11.5","5.8","138281","36641","23.0","(X)","(X)","(X)","21.4","(X)","(X)","(X)","30.2","(X)","(X)","(X)",
