Column Name,Label
GEO_ID,Geography
NAME,Geographic Area Name
P1_001N, !!Total:
P1_002N, !!Total:!!Population of one race:
P1_003N, !!Total:!!Population of one race:!!White alone
P1_004N, !!Total:!!Population of one race:!!Black or African American alone
P1_005N, !!Total:!!Population of one race:!!American Indian and Alaska Native alone
P1_006N, !!Total:!!Population of one race:!!Asian alone
P1_007N, !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone
P1_008N, !!Total:!!Population of one race:!!Some Other Race alone
P1_009N, !!Total:!!Population of two or more races:
P1_010N, !!Total:!!Population of two or more races:!!Population of two races:
P1_011N, !!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American
P1_012N, !!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native
P1_013N, !!Total:!!Population of two or more races:!!Population of two races:!!White; Asian
P1_014N, !!Total:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander
P1_015N, !!Total:!!Population of two or more races:!!Population of two races:!!White; Some Other Race
P1_016N, !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native
P1_017N, !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian
P1_018N, !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander
P1_019N, !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race
P1_020N, !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian
P1_021N, !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P1_022N, !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race
P1_023N, !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander
P1_024N, !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Some Other Race
P1_025N, !!Total:!!Population of two or more races:!!Population of two races:!!Native Hawaiian and Other Pacific Islander; Some Other Race
P1_026N, !!Total:!!Population of two or more races:!!Population of three races:
P1_027N, !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; American Indian and Alaska Native
P1_028N, !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Asian
P1_029N, !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander
P1_030N, !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Some Other Race
P1_031N, !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Asian
P1_032N, !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P1_033N, !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Some Other Race
P1_034N, !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Native Hawaiian and Other Pacific Islander
P1_035N, !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Some Other Race
P1_036N, !!Total:!!Population of two or more races:!!Population of three races:!!White; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_037N, !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Asian
P1_038N, !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P1_039N, !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Some Other Race
P1_040N, !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander
P1_041N, !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Some Other Race
P1_042N, !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_043N, !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P1_044N, !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Some Other Race
P1_045N, !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
