"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"0400000US36","New York","7255528","10898","58687","207","70.0","0.1","65667","203","14.7","0.1","41598","339","0.4","0.1","36669","2183","6.5","0.1","62420","868","0.0","0.1","42240","11257","6.6","0.1","36694","464","1.9","0.1","49102","1218","14.6","0.1","40814","358","63.5","0.1","67485","240","2.9","0.1","27968","789","32.9","0.1","65396","358","41.0","0.1","70383","309","23.3","0.1","38136","216","4636017","11735","71419","280","43.9","0.1","66830","489","56.1","0.1","74243","303","69.0","0.2","89448","355","23.2","0.1","36223","261","7.7","0.1","50343","604","2619511","8927","36679","180","55.4","0.2","31607","194","47.1","0.2","27216","186","8.3","0.1","70054","1232","44.6","0.2","43235","346","34.7","0.2","36572","303","9.9","0.1","75175","1008","34.9","(X)","(X)","(X)","36.8","(X)","(X)","(X)","30.0","(X)","(X)","(X)",
"8600000US06390","ZCTA5 06390","132","52","151333","6601","100.0","20.2","151333","6601","0.0","20.2","-","**","0.0","20.2","-","**","0.0","20.2","-","**","0.0","20.2","-","**","0.0","20.2","-","**","0.0","20.2","-","**","0.0","20.2","-","**","100.0","20.2","151333","6601","0.8","3.1","-","**","7.6","7.6","157917","44633","59.1","21.5","172833","44061","32.6","21.8","144750","11500","95","37","150417","11915","7.4","6.3","128250","1362","92.6","6.3","151000","14909","84.2","22.2","151667","23394","15.8","22.2","-","**","0.0","26.5","-","**","37","34","152250","232243","43.2","44.5","-","**","43.2","44.5","-","**","0.0","46.8","-","**","56.8","44.5","250,000+","***","16.2","25.8","51250","142933","40.5","45.7","-","**","37.9","(X)","(X)","(X)","50.5","(X)","(X)","(X)","5.4","(X)","(X)","(X)",
"8600000US10001","ZCTA5 10001","11169","461","81445","8743","68.0","3.2","93623","10729","7.3","1.9","22232","16845","0.8","0.7","36528","97730","17.4","2.1","76813","26230","0.0","0.3","-","**","2.6","1.5","71648","76901","3.9","1.6","44911","34135","13.1","2.2","37778","19758","59.9","3.0","106053","11132","7.0","1.2","47000","19150","46.6","3.6","114375","16292","30.1","3.3","68032","20687","16.3","2.1","33669","9770","3348","357","90456","12963","35.2","6.4","92823","67108","64.8","6.4","90404","12152","68.7","8.0","135518","40466","18.0","5.4","35192","26210","13.2","6.9","90957","7426","7821","413","75091","13369","44.8","3.6","51151","8945","35.4","3.6","45445","13716","9.5","2.3","110386","28854","55.2","3.6","87721","20735","41.8","4.0","72993","14904","13.4","2.7","173447","16420","21.6","(X)","(X)","(X)","27.4","(X)","(X)","(X)","19.1","(X)","(X)","(X)",
"8600000US10002","ZCTA5 10002","32550","663","32966","2301","37.1","1.6","59736","4593","6.6","1.0","31105","6308","0.4","0.3","30069","23899","40.2","1.7","23136","1564","0.0","0.1","-","**","13.1","1.5","24779","6225","2.5","0.7","38250","20425","24.8","1.6","24249","4291","27.0","1.4","78220","10745","2.0","0.5","38824","12502","34.4","1.9","62449","7035","36.9","1.9","33037","3306","26.6","1.3","16905","1294","17454","664","35062","3345","34.5","2.8","35082","5187","65.5","2.8","35036","4612","57.6","2.8","39592","5458","33.3","3.0","29224","2838","9.1","2.0","39324","11582","15096","800","25420","4048","50.6","3.1","18855","2722","44.1","2.9","15885","1667","6.5","1.5","120156","25436","49.4","3.1","42638","9486","41.2","2.8","28214","10470","8.3","1.7","132195","28470","32.4","(X)","(X)","(X)","35.7","(X)","(X)","(X)","27.0","(X)","(X)","(X)",
"8600000US10003","ZCTA5 10003","27564","663","97524","4474","82.6","1.7","100412","4510","3.1","1.0","44268","25530","0.0","0.1","-","**","10.4","1.1","97518","14697","0.0","0.1","-","**","1.1","0.5","41394","75422","2.7","0.9","97708","60176","6.7","1.1","60394","28542","78.0","1.9","101759","4679","5.4","1.0","40259","20236","49.8","2.2","117324","10966","28.0","1.8","100958","12539","16.8","1.3","54241","6607","7396","638","145411","16885","32.0","3.8","191156","38609","68.0","3.8","134719","17966","82.7","3.4","170179","17667","10.4","2.5","82917","34324","6.8","2.7","47031","94011","20168","817","85774","4289","50.5","2.9","81659","8997","39.5","2.7","61651","9283","11.0","1.9","135969","18608","49.5","2.9","92970","8794","37.2","2.9","72462","10947","12.3","2.2","182279","24246","22.0","(X)","(X)","(X)","26.5","(X)","(X)","(X)","20.2","(X)","(X)","(X)",
"8600000US10004","ZCTA5 10004","1580","208","123409","15383","80.3","8.6","123750","15344","1.3","2.2","-","**","0.0","1.9","-","**","17.0","8.4","95069","103529","0.0","1.9","-","**","0.0","1.9","-","**","1.4","1.2","153409","102969","5.1","3.4","81250","113954","75.9","9.0","130258","19543","8.1","3.8","44688","55421","56.0","9.8","130801","28955","25.8","8.2","122321","30667","10.1","4.0","142969","152782","531","137","242625","53217","39.9","14.0","173200","80496","60.1","14.0","250,000+","***","81.4","14.2","250,000+","***","8.1","6.5","114375","107885","10.5","15.1","-","**","1049","202","96761","25855","52.8","11.2","90833","20270","41.5","11.2","85929","20981","11.3","6.1","242697","69147","47.2","11.2","114688","37032","37.7","11.8","95313","38259","9.5","6.1","183707","42326","16.1","(X)","(X)","(X)","14.7","(X)","(X)","(X)","16.9","(X)","(X)","(X)",
"8600000US10005","ZCTA5 10005","4100","341","121840","12917","68.4","6.4","133000","47183","5.0","3.1","106343","57499","0.0","0.7","-","**","21.9","5.9","101818","33155","0.0","0.7","-","**","3.5","3.3","139519","350128","1.3","1.7","250,000+","***","5.8","2.9","104219","79667","64.3","6.8","145625","54486","10.0","3.6","70398","41254","76.9","5.5","125822","17852","11.4","3.6","163795","43145","1.7","1.4","-","**","1056","221","196776","34153","41.2","14.2","250,000+","***","58.8","14.2","171815","51936","91.6","5.9","210598","48536","4.5","4.6","142552","126486","4.0","4.1","197065","29136","3044","366","104123","15782","53.6","6.8","83306","20610","37.7","6.2","80225","16322","15.9","5.1","117813","16099","46.4","6.8","121616","21393","31.0","7.5","102216","24266","15.4","5.9","191944","69861","18.2","(X)","(X)","(X)","17.1","(X)","(X)","(X)","18.3","(X)","(X)","(X)",
"8600000US10006","ZCTA5 10006","1686","185","121316","22057","73.6","7.9","123045","23432","4.0","5.4","-","**","0.0","1.8","-","**","19.0","7.6","122788","19577","0.0","1.8","-","**","1.5","2.5","-","**","1.8","2.1","-","**","5.5","4.1","88221","115716","69.6","8.0","123397","23602","9.5","5.7","41250","32797","76.7","7.5","123375","14202","13.8","5.8","141033","124539","0.0","1.8","-","**","456","139","177300","84250","50.4","17.5","128707","87788","49.6","17.5","215972","25986","78.9","14.6","207045","64167","10.5","10.4","127931","9337","10.5","11.2","-","**","1230","211","100759","16396","57.1","11.9","87981","30256","45.6","10.7","78060","32299","11.5","6.9","137697","113205","42.9","11.9","124773","61227","26.3","11.4","118313","31221","16.6","7.2","250,000+","***","22.2","(X)","(X)","(X)","15.1","(X)","(X)","(X)","22.8","(X)","(X)","(X)",
"8600000US10007","ZCTA5 10007","2646","186","250,000+","***","77.9","5.3","250,000+","***","2.5","3.0","-","**","0.0","1.1","-","**","18.9","4.6","250,000+","***","0.0","1.1","-","**","0.0","1.1","-","**","0.7","0.8","-","**","2.6","1.9","143250","194109","75.3","5.6","250,000+","***","0.4","0.6","-","**","61.1","4.5","250,000+","***","34.0","4.5","250,000+","***","4.5","2.4","91339","84961","1361","201","250,000+","***","58.6","9.0","250,000+","***","41.4","9.0","250,000+","***","91.5","4.6","250,000+","***","8.5","4.6","70882","90399","0.0","2.2","-","**","1285","180","155190","19278","50.7","10.2","116719","60956","37.0","9.0","104271","86436","13.8","8.2","117266","61661","49.3","10.2","209432","69153","31.5","9.2","179750","71328","17.7","8.0","250,000+","***","15.0","(X)","(X)","(X)","12.6","(X)","(X)","(X)","17.6","(X)","(X)","(X)",
